address,balance,share
0xbb7ecdda7497e72fd6d43e6a99a64fdff7bf7fbd,1e+21,0
0xe697a9f14f182c5291287dbeb47d41773091f035,1e+21,0
0x679dd512f19f2ecb412c8d3c91e5ebe63c0bfd83,1e+21,0
0x7968f68ff3bc0051e23d36db44a8911024517544,1e+21,0
0x5e86777fc413e07189975d28d9e1d5f0db86ec95,9.8e+20,0
0x89f952aa95ed50fad04c378e6aab7645ca7e63d9,9.6e+20,0
0xcb14f30ef90d6ed8c19fc6e4c25ec76271838ff2,9.2e+20,0
0x3cea19f984c3a54db82749bee3c5eed6fff1e31b,9e+20,0
0xb8c48031ba596eaa423e94727b3fb24dd24027b4,9e+20,0
0x467a1c29179252fe7e8e3ed75571a58ee0542336,8.6e+20,0
0x723c5609bf8259cf2483cc1ccc5e6214d69a9aa4,8.6e+20,0
0xe062b1ba461bc58782ced8a653f147798165d0f6,8.4e+20,0
0x29226777dd190ed337dbe91f335a512fe8beee6f,8.4e+20,0
0xb56981afda3fdec836b538e50d174d0f15ec4c3f,8.4e+20,0
0xef676fffa2fa3eeca61b85557f018cb769ef4dbb,8.2e+20,0
0xf06167b3a81e1dab9ced98e0ea2d757c1081040e,8.2e+20,0
0x942b565d992fc9b5cbf13255005adc2d9d969511,8e+20,0
0x77c45b4ed1243b971925b1cd59e5f7a1e7a51487,8e+20,0
0xf4bc9df88d6495a2889607765819acf6758310eb,7.8e+20,0
0xc7ee6e300d34f4fbef8679ea093e7116cc363c17,7.8e+20,0
0x81a6fce140912b51514481eea98f756b0a8c4291,7.76e+20,0
0xd294b7c88bb005a6c50347aecfcb367439ba730a,7.6e+20,0
0x5a4167a0d3dfdd082eb0fd6e38a7f06e81993847,7.6e+20,0
0xf1d4b4e89127e186c1c0203ed5823ced9fd357e8,7.6e+20,0
0xf6da68519f78b0d0bc93c701e86affcb75c92428,7.5739566789e+20,0
0xf7658831a0f745389261ea4e34c6f46b28dc1f79,7.4e+20,0
0x7845524286b673e92930e6a82ebb76242bb5269d,7.4e+20,0
0x8a2c390ea9cd3f62edc2a470a1186fde9568811e,7.2e+20,0
0x917c0838af8dda54bfa1607a1c202b3a9feca6eb,7.1513108277e+20,0
0xa3e994f5dfa1be1725cf95f5e63b1d6288287cbe,7e+20,0
0xf10d5883472dcefd6e862c9c72be7ffaeb4600c0,7e+20,0
0x69a169ae0573f058c9055b68455b5d4f99e536c1,6.8e+20,0
0x3dd79f7a1fa91bc58003c4c30f176418de275d3f,6.8e+20,0
0xe2a1b19ffe04e156dc027821021d72a685a13a8f,6.8e+20,0
0x6424755a7ba2faf0bffb1c81eecae7cc5284ea9c,6.75e+20,0
0xe285be65c2b285cf2210a91ef2486fac599d600f,6.6e+20,0
0x7a00dc980770e10434e0528154d819ac3b8a6603,6.6e+20,0
0x6cf93afb650d367f9f1c0e4642da42bf75225fe4,6.5e+20,0
0x9472357e16be57611e2eb81bf541b582d8c08d3d,6.2e+20,0
0x0702cca6d02dcd1382f6e862d2c069b4472476a5,6.2e+20,0
0x5b6880c4de4b98b1c29c461f98ceb5b5f3214ecd,6.2e+20,0
0xdc6d612cc0c31c7c78fbf43c8d42b0eed32974a9,6.2e+20,0
0xb6a6de347c3e75210aa57e450bac53fbb6b3e7ce,6.2e+20,0
0x8151115a13e3900f51cb9295f4f6814fe2e783ec,6.2e+20,0
0xb750daeef992a907fbc5fa0d3b0e4d16bdd2dc4f,6.1e+20,0
0xda92cd641cce22dbbfdebdb92a93bf68dbc7b91b,6e+20,0
0x92419a5ce6c0faa7aee3123cf9d9f4ce3ec84326,6e+20,0
0x2d2e951c79c3e029518406a60665a3994ab08c9e,6e+20,0
0x9f8f632cb8789941386556636b4f9d2aa9ef919a,6e+20,0
0x385660dcf2747f3dfa5065879e4c74fb1163aeea,6e+20,0
0x7ca3d3d99a6dd2b18ae80cd07962521ca3a3343d,6e+20,0
0x7a8dbc8ddd308f22255d1616119f4d4dd493ab25,6e+20,0
0x486f8b4f2ceae464f3ff6d56c55ebc0dc85f93ec,6e+20,0
0x7926e69ad0bec21fdadf52f881a53009e305d147,5.8e+20,0
0xd611253b592ffc3c5ab6e8abb2bbbe7ae82da982,5.8e+20,0
0x67fc7da955a871d3c4a8c3b29cc594d558271c0f,5.6e+20,0
0x9b8f52a9f3030effd7362d10f14c53b16d9852c0,5.6e+20,0
0x562a3413c2bc74381b765ce3f16e74b23311dbe7,5.6e+20,0
0x52685f8753e487d5de5e07d8496df552b302bbf2,5.6e+20,0
0x98bbdcfff138a3028cfcb35421ac7fa405246f9a,5.5e+20,0
0x3f911eb6d6cbdee710c914349a872db63de4700f,5.4e+20,0
0x267a57c1c346f270565f090f6d29b2e90c200acb,5.4e+20,0
0x84e7eb8033907cbd8fd9f72a724ea838e1459897,5.35e+20,0
0x1c8f806394fbcdeac01df603359734f35d546993,5.35e+20,0
0xbe4f7da7ce0632b94e4bc65f24e96932a303a667,5.2e+20,0
0x71967967158e102efadf45d7fe6c038bc05fafb3,5.2e+20,0
0xca029d65a23206de781cd67fa11525a45a22316b,5.15e+20,0
